# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,1.7279265875257743,3.3,179.89564027330724,0,2.0,-20.941565598904766,180.0,0.0,0.44977226494068795
 0.01579915484007324,1.7276769746461689,3.3000004546506028,179.89564027330724,0.03159830968014647,1.9999999999999996,-20.941565598904766,-179.99289397834343,-47.661795568436446,3.717445654323549
 0.02153345328816525,1.7274710293703848,3.300001812164143,179.6223333129459,0.0402325347407666,1.5057160241621221,-39.32733308658635,-179.97157703549698,-91.08635675663885,7.7920719826223
 0.026092509970802633,1.7273084075363088,3.3000040628832186,179.20706544947743,0.031114421375491842,-1.9999999999999984,-87.4999246853385,-179.936052537653,-157.394234256271,11.059353681433485
 0.03058883448883662,1.7271887649818278,3.300007197150427,178.4993698949938,0.02212177233942387,-2.0,-262.30602098792355,-179.88632609454157,-341.11073994364705,14.743699915700816
 0.03492428192486608,1.7271117575448283,3.3000112053083654,177.020502212103,0.013450877467364945,-2.0,-1558.2936332464233,-179.82240555854446,-1416.905296358597,22.090616620145102
 0.03845992497332604,1.7270770410631964,3.3000160776996315,172.0108308507066,0.006379591370445024,-2.0000000000000027,-49141.031895660766,-179.74430102345525,-110021.54562441567,75.9743728786672
 0.03967449505891391,1.727084271374819,3.3000218046668235,38.38195276514977,0.008808731541620778,2.0000000000000027,-17799.051382441237,-179.65202482288552,-7911.771314056031,27.41382361152219
 0.04355696311870633,1.7271331043175828,3.3000283765525382,7.664753341945374,0.01657366766120561,2.0000000000000013,-740.8151320532171,-179.545591528317,-685.3961273410661,27.876071357541836
 0.04788230652774567,1.7272231957293744,3.300035783699374,4.700179719969602,0.025224354479284308,2.000000000000001,-173.8985121961993,-179.42501794680075,-249.44783308311204,30.42624122008682
 0.05230923614824773,1.7273542014480803,3.3000440164499283,3.595891718923921,0.034078213720288415,1.9999999999999991,-66.45254601123285,-179.290323118303,-129.4124873858022,33.37357233217431
 0.05676769819490535,1.7275257773115873,3.3000530651467983,3.0189110555507637,0.042995137813603646,1.9999999999999984,-32.274407507867025,-179.14152831269863,-79.44359913641256,36.45822970013915
 0.06123503760293392,1.7277375791577816,3.3000629201325817,2.6640095344130437,0.05192981662966079,2.0000000000000013,-18.103749918647274,-178.97865702641224,-53.86817702782528,39.608733284874745
 0.06570178099590318,1.7279892628245501,3.3000735717498766,2.4233942105827064,0.06086330341559932,2.0,-11.183801627138482,-178.80173497870814,-39.019879502047246,42.798457544489914
 0.07016327054564227,1.7282804841497792,3.30008501034128,2.249307425952244,0.06978628251507749,1.9999999999999984,-7.404830769729023,-178.61079010762845,-29.630582247572857,46.01538908180437
 0.07461694454766254,1.7286108989713558,3.3000972262493895,2.1173424721315053,0.07869363051911803,1.999999999999997,-5.165952865821522,-178.40585256558197,-23.31404014088827,49.25330897066105
 0.07906127236186371,1.7289801631271662,3.3001102098168036,2.0137272350719533,0.08758228614752037,2.000000000000003,-3.7544997031565224,-178.1869547145822,-18.86014509321745,52.50863146923959
 0.0834952784848608,1.7293879324550971,3.3001239513861185,1.9301012362480134,0.09645029839351456,2.000000000000003,-2.820009706343836,-177.9541311211374,-15.601486331355348,55.77909388556614
 0.08791830785230821,1.7298338627930352,3.300138441299933,1.8610954040285994,0.10529635712840937,1.999999999999997,-2.176289238316334,-177.70741855079194,-13.145224098417629,59.06315170339522
 0.09232990088377661,1.730317609978867,3.3001536699008445,1.8031040249989296,0.11411954319134618,2.0,-1.7181014435594493,-177.44685596232068,-11.247790968441885,62.35967487940965
 0.09672972274420939,1.7308388298504793,3.30016962753145,1.7536157484144006,0.12291918691221175,2.000000000000003,-1.3828709130840906,-177.17248450157678,-9.751604898520377,65.66778475526839
 0.1011175212310316,1.731397178245758,3.3001863045343476,1.7108276711965849,0.13169478388585618,2.000000000000003,-1.1317786017931957,-176.88434749499464,-8.551028815521141,68.98676151723588
 0.10549310062638392,1.7319923110025905,3.300203691252135,1.6734119657023265,0.14044594267656085,2.000000000000006,-0.9398612467125511,-176.58249044274774,-7.57308369624613,72.31598921245818
 0.10985630487236242,1.7326238839588632,3.3002217780274092,1.640369054763715,0.14917235116851782,1.9999999999999936,-0.7905619833085901,-176.2669610115638,-6.766032323161369,75.65492177874566
 0.11420700640806107,1.7332915529524626,3.3002405552027683,1.61093206754475,0.15787375423991512,2.0,-0.6726005902175828,-175.93780902719786,-6.092364037138806,79.00306134328936
 0.11854509856305792,1.733994973821275,3.30026001312081,1.5845028309098532,0.16654993854990885,2.000000000000006,-0.5781086515963866,-175.5950864665638,-5.524342486838158,82.35994395034395
 0.12287049025166284,1.7347338024031875,3.3002801421241315,1.5606078858322765,0.1752007219271187,2.0,-0.5014820136211148,-175.23884744952701,-5.041098857362524,85.72512993520444
 0.12718310219460938,1.7355076945360866,3.3003009325553307,1.5388675826944407,0.18382594581301176,2.0,-0.4386544366454755,-174.8691482303578,-4.626686548934317,89.09819728479297
 0.13148286417839686,1.7363163060578586,3.300322374757005,1.518973931760432,0.19242546978058672,2.0,-0.38662599068540493,-174.48604718884866,-4.268749826638373,92.47873696901189
 0.13576971303411203,1.7371592928063904,3.3003444590717526,1.500674446450773,0.20099916749201707,2.0,-0.34314995519888153,-174.08960482109507,-3.957594869203929,95.86634960006982
 0.1400435911244086,1.7380363106195682,3.30036717584217,1.4837601684490123,0.20954692367261019,2.0,-0.3065206406069694,-173.67988372994262,-3.6855294678940176,99.26064300536731
 0.14430444519542784,1.7389470153352793,3.300390515410856,1.4680566652118747,0.21806863181464867,1.9999999999999936,-0.2754269132583014,-173.2569486151012,-3.446386589786752,102.66123044101698
 0.1485522254947633,1.7398910627914097,3.3004144681204073,1.4534171721518845,0.22656419241331957,2.0,-0.24884948520908384,-172.82086626292832,-3.235175065494073,106.06772926050988
 0.15278688508611346,1.7408681088258462,3.300439024313422,1.4397173070310931,0.23503351159601993,2.0000000000000067,-0.22598758531240518,-172.37170553588257,-3.0478203324503297,109.47975991357696
 0.1570083793111447,1.7418778092764753,3.300464174332497,1.4268509510987213,0.2434765000460824,2.0,-0.2062061117310679,-171.9095373616496,-2.88096950830683,112.896945186241
 0.1612166653628542,1.7429198199811837,3.3004899085202313,1.4147270073015132,0.2518930721495014,2.0,-0.18899680929375157,-171.43443472194173,-2.7318432360968057,116.31890962039495
 0.16541170194427335,1.743993796777858,3.3005162172192213,1.4032668249913847,0.2602831453123397,2.0,-0.1739496122217324,-170.94647264097338,-2.5981217841196647,119.74527906799386
 0.16959344899315132,1.7450993955043848,3.300543090772065,1.3924021368880168,0.26864663941009564,2.0,-0.16073110302426702,-170.44572817361373,-2.477856838346073,123.1756803474479
 0.17376186745811492,1.7462362719986508,3.3005705195213597,1.3820733926895186,0.2769834763400228,1.9999999999999867,-0.1490682828807097,-169.93228039321897,-2.369402270018242,126.6097409787942
 0.17791691911532742,1.7474040820985421,3.3005984938097037,1.3722284038608763,0.2852935796544478,2.0,-0.13873609098329262,-169.4062103791458,-2.2713597633331797,130.0470889790199
